b,g,e,p,f,d,c,n
"G. T. Japan, Inc.",019022128593,200.0,2.5,6.25,0.0,35.0,MOCHI ICE CREAM BONBONS
FRESH & EASY,5051379043735,162.0,0.0,0.0,0.0,43.24,CHIPOTLE BARBECUE SAUCE
FRESH & EASY,5051379009434,176.0,0.0,0.0,0.0,41.18,HOT & SPICY BARBECUE SAUCE
FRESH & EASY,5051379019969,143.0,0.0,0.0,0.0,34.29,BARBECUE SAUCE
FRESH & EASY,5051379009526,189.0,0.0,0.0,0.0,45.95,BARBECUE SAUCE
FRESH & EASY,5051379019983,189.0,0.0,0.0,0.0,48.65,ORIGINAL BARBECUE SAUCE
FRESH & EASY,5051379020064,100.0,0.0,0.0,0.0,20.0,STEAK SAUCE
FRESH & EASY,5051379019914,100.0,0.0,0.0,0.0,20.0,"FRESH & EASY, SWEET HOT MUSTARD"
FRESH & EASY,5051379006921,333.0,0.0,33.33,0.0,6.67,LITE MAYONNAISE
FRESH & EASY,5051379006914,714.0,0.0,85.71,0.0,0.0,REAL MAYONNAISE MADE WITH CIDER VINEGAR
McConnell's Ice Cream Inc.,075209824702,230.0,4.42,19.47,12.4,31.86,FINE ICE CREAMS
Stater Bros. Markets Inc.,074175820206,400.0,0.0,0.0,0.0,100.0,"STATER BROS., SUGAR POWDERED"
Stater Bros. Markets Inc.,074175820008,375.0,0.0,0.0,0.0,100.0,"STATER BROS., PURE CANE SUGAR GRANULATED"
Stater Bros. Markets Inc.,074175020705,357.0,12.5,1.79,3.6,75.0,"STATER BROS., ROTINI AN ENRICHED MACARONI PRODUCT"
Stater Bros. Markets Inc.,074175611637,100.0,6.15,0.0,3.8,17.69,"STATER BROS., KIDNEY BEANS, DARK RED"
Target Stores,085239266212,107.0,19.64,1.79,0.0,1.79,SLICED SMOKED TURKEY BREAST
Target Stores,085239266243,143.0,17.86,4.46,0.0,5.36,SLICED HONEY HAM WITH NATURAL JUICES
Target Stores,085239266236,125.0,17.86,4.46,0.0,3.57,SLICED BLACK FOREST HAM
Target Stores,085239266205,179.0,21.43,8.04,0.0,1.79,SLICED BLACK ANGUS ROAST BEEF
Milton G. Waldbaum Company,075925604596,357.0,25.0,28.57,0.0,0.0,MUENSTER CHEESE
Milton G. Waldbaum Company,075925604657,393.0,25.0,32.14,0.0,0.0,SWISS CHEESE
"Columbus Manufacturing, Inc.",073007100301,143.0,23.21,5.36,0.0,1.79,SEASONED ROAST BEEF
"DCI Cheese Company, Inc.",711565011416,393.0,25.0,32.14,0.0,7.14,"GREAT MIDWEST, CRANBERRY CHEDDAR"
"DCI Cheese Company, Inc.",711565011362,393.0,25.0,32.14,0.0,3.57,"GREAT MIDWEST, CHIPOTLE CHEDDAR"
Target Stores,085239233405,250.0,7.14,16.07,7.1,21.43,TRADITIONAL HUMMUS
Target Stores,085239233467,214.0,7.14,14.29,3.6,17.86,SUN-DRIED TOMATO & BASIL HUMMUS
Target Stores,085239233443,214.0,7.14,12.5,7.1,17.86,SPINACH & ARTICHOKE HUMMUS
Target Stores,085239233436,250.0,7.14,14.29,3.6,21.43,ROASTED GARLIC HUMMUS
Target Stores,085239233450,214.0,7.14,14.29,7.1,21.43,SPICY THREE PEPPER HUMMUS
Target Stores,085239233429,214.0,7.14,12.5,7.1,17.86,ROASTED RED PEPPER HUMMUS
Target Stores,085239233498,250.0,7.14,14.29,3.6,21.43,ROASTED GARLIC HUMMUS
Target Stores,085239233481,214.0,7.14,12.5,7.1,17.86,ROASTED RED PEPPER HUMMUS
FRESH & EASY,5051379051839,500.0,0.0,28.57,0.0,57.14,ORGANIC TRI-COLORED TORTILLA STRIPS
FRESH & EASY,5051379049775,169.0,4.62,6.15,1.5,20.0,VANILLA BEAN ICE CREAM
FRESH & EASY,5051379049782,200.0,4.62,7.69,1.5,24.62,LIGHT ICE CREAM
FRESH & EASY,5051379049751,234.0,3.9,11.69,1.3,20.78,ICE CREAM
FRESH & EASY,5051379071332,126.0,0.0,0.0,1.1,33.68,SORBET
FRESH & EASY,5051379071356,105.0,0.0,0.0,0.0,28.42,SORBET
FRESH & EASY,5051379071349,126.0,0.0,0.0,0.0,32.63,BLOOD ORANGE SORBET
FRESH & EASY,5051379071295,179.0,3.16,8.42,0.0,23.16,GELATO
FRESH&EASY,5051379071318,200.0,3.16,10.53,0.0,23.16,"ICE CREAM, GELATO"
FRESH & EASY,5051379071301,200.0,4.21,11.58,0.0,22.11,GELATO
FRESH & EASY,5051379071271,200.0,5.26,9.47,1.1,24.21,GELATO
FRESH & EASY,5051379052416,333.0,12.12,0.0,3.0,72.73,PANKO BREAD CRUMBS JAPANESE STYLE
FRESH & EASY,5051379003319,375.0,10.71,1.79,3.6,75.0,"FRESH & EASY, TRI COLOR ROTINI"
FRESH & EASY,5051379051754,375.0,10.71,1.79,3.6,73.21,"ENRICHED MACARONI PRODUCT, ITALIAN ORZO"
FRESH & TASTY,5051379021184,375.0,10.71,1.79,3.6,73.21,CONCHIGLIE
FRESH & EASY,5051379021160,375.0,10.71,1.79,3.6,73.21,EXCELLENT WITH MUSHROOM SAUCES
FRESH & EASY,5051379024802,375.0,12.5,1.79,3.6,73.21,MACARONI ELBOWS
FRESH & EASY,5051379051761,375.0,12.5,1.79,3.6,73.21,CUT FIDEO
FRESH & EASY,5051379036294,375.0,12.5,1.79,3.6,73.21,THIN SPAGHETTI
FRESH & EASY,5051379024765,375.0,12.5,1.79,3.6,73.21,FETTUCCINE
FRESH & EASY,5051379024772,375.0,12.5,1.79,3.6,73.21,SPAGHETTI
FRESH & EASY,5051379034115,375.0,12.5,1.79,3.6,73.21,SPAGHETTI
FRESH & EASY,5051379036423,375.0,12.5,1.79,3.6,73.21,ROTELLI
FRESH & EASY,5051379041465,357.0,12.5,1.79,7.1,73.21,WHOLE GRAIN PASTA
FRESH & EASY NEIGHBORHOOD MARKET INC.,5051379021139,339.0,7.14,2.68,3.6,73.21,BROWN RICE SPAGHETTI
FRESH & EASY,5051379022266,375.0,12.5,2.68,8.9,73.21,WHOLE WHEAT SPAGHETTI
FRESH&EASY,5051379022259,375.0,12.5,2.68,8.9,73.21,"WHOLE WHEAT ELBOWS, MACARONI"
FRESH & EASY,5051379022273,375.0,12.5,2.68,8.9,73.21,WHOLE WHEAT MACARONI PRODUCT
FRESH&EASY,5051379021122,339.0,7.14,2.68,3.6,73.21,"BROWN RICE, ROTINI"
FRESH & EASY,5051379003296,375.0,12.5,1.79,3.6,73.21,LASAGNA
FRESH & EASY,5051379057435,357.0,12.5,2.68,10.7,73.21,WHOLE GRAIN THIN SPAGHETTI
FRESH & EASY,5051379060336,357.0,12.5,1.79,3.6,73.21,MEDIUM SHELLS
FRESH&EASY,5051379057442,357.0,12.5,2.68,10.7,73.21,WHOLE GRAIN ROTINI
FRESH&EASY,5051379034122,375.0,14.29,1.79,3.6,73.21,"PASTA, EXTRA BROAD RIBBONS"
FRESH&EASY,5051379003326,393.0,14.29,5.36,3.6,71.43,WIDE EGG NOODLES
FRESH & EASY,5051379065218,375.0,12.5,1.79,3.6,73.21,LARGE ELBOWS
FRESH & EASY,5051379050375,400.0,40.0,30.0,0.0,0.0,THREE CHEESE BLEND
FRESH & EASY,5051379006006,400.0,40.0,30.0,0.0,0.0,PARMESAN CHEESE
FRESH & EASY,5051379035174,129.0,3.23,11.29,0.0,4.84,ALFREDO SAUCE
FRESH & EASY,5051379037123,40.0,0.88,0.88,1.8,7.96,MARINARA SAUCE WITH ROASTED RED PEPPERS
