i,b,g,u,e,p,f,d,c,n
376055,"Bravo Restaurants, Inc.",643130300116,g,261.0,12.72,12.72,1.4,22.61,CHICAGO AUTHENTIC DEEP DISH PIZZA
376056,"Bravo Restaurants, Inc.",643130300147,g,282.0,12.75,14.77,1.3,20.81,CHICAGO AUTHENTIC DEEP DISH PIZZA
376057,The Schwan Food Company,072180637765,g,263.0,9.62,10.26,0.6,31.41,4 CHEESE MEDLEY PIZZA
376058,The Schwan Food Company,072180637376,g,245.0,8.63,10.79,1.4,30.22,SAUSAGE PIZZA
376059,"Meijer, Inc.",713733322171,g,223.0,9.23,10.77,1.5,22.31,CLASSIC PIZZA SUPREME
376060,"Meijer, Inc.",713733322201,g,214.0,9.66,8.28,1.4,24.83,CLASSIC PIZZA
376061,"Meijer, Inc.",713733322195,g,237.0,9.87,11.18,1.3,23.68,CLASSIC PIZZA
376062,The Schwan Food Company,072180567345,g,250.0,10.42,10.42,1.4,29.86,RISING CRUST
376063,"Meijer, Inc.",886926153200,g,218.0,9.86,6.34,1.4,30.28,RISING CRUST PIZZA
376064,"Meijer, Inc.",713733326063,g,226.0,8.27,6.77,1.5,31.58,RISING CRUST PIZZA
376065,"Meijer, Inc.",713733322218,g,189.0,10.24,7.09,0.8,21.26,CRISPY THIN CRUST PIZZA
376066,"Meijer, Inc.",713733326070,g,239.0,8.96,8.96,1.5,30.6,RISING CRUST PIZZA
376067,"Meijer, Inc.",886926153194,g,245.0,9.09,9.79,1.4,30.07,RISING CRUST PIZZA
376068,Dr. Oetker Canada Ltd,058336180033,g,219.0,6.25,9.38,1.6,25.0,"DR. OETKER, RISTORANTE, THIN CRUST PIZZA VEGETABLE"
376069,Palermo Villa Inc.,075706146017,g,219.0,12.41,9.49,0.7,20.44,"PALERMO'S, HEARTH BAKED CRUST FLATBREAD, BBQ CHICKEN"
376070,Dr. Oetker Canada Ltd,058336180095,g,250.0,8.33,13.33,1.7,25.0,"DR. OETKER, RISTORANTE, THIN CRUST PIZZA WITH PEPPERONI, MOZZARELLA, PESTO"
376071,Dr. Oetker Canada Ltd,058336180026,g,223.0,6.92,11.54,1.5,22.31,VIRTUOSO THIN + CRISPY CRUST PIZZA
376072,"Meijer, Inc.",886926172560,g,191.0,8.4,8.4,2.3,20.61,ORGANIC THIN CRUST PIZZA
376073,Dr. Oetker Canada Ltd,058336180002,g,264.0,10.43,13.5,1.2,25.77,MOZZARELLA & PESTO PIZZA
376074,"Meijer, Inc.",886926172584,g,246.0,12.57,11.98,1.2,22.75,ORGANIC THREE CHEESE THIN CRUST PIZZA
376075,"Newman's Own, Inc.",020662005328,g,230.0,10.07,10.79,2.2,23.74,"NEWMAN'S OWN, ALL NATURAL THIN & CRISPY SUPREME PIZZA"
376076,"Bravo Restaurants, Inc.",643130308006,g,192.0,8.61,8.61,0.7,17.88,"GINO'S EAST OF CHICAGO, AUTHENTIC DEEP DISH PIZZA, CHEESE"
376077,"Meijer, Inc.",713733346245,g,314.0,5.71,10.0,1.4,47.14,WAFFLES
376078,"Meijer, Inc.",041250184751,g,286.0,5.71,11.43,1.4,41.43,"MEIJER, WAFFLES, BUTTERMILK"
376079,"Meijer, Inc.",713733346269,g,286.0,5.71,11.43,1.4,41.43,WAFFLES
376080,"Meijer, Inc.",708820306820,g,179.0,1.19,5.95,3.6,28.57,CRINKLE CUT FRENCH FRIED SWEET POTATOES
376081,"Meijer, Inc.",708820304932,g,167.0,2.38,5.95,2.4,26.19,"MEIJER, EXTRA CRISPY CRINKLE CUT FRENCH FRIED POTATOES"
376082,"Meijer, Inc.",886926045604,g,549.0,5.41,35.14,2.7,54.05,"MEIJER, TRUE GOODNESS, SPREAD, HAZELNUT"
376083,"Innovasian Cuisine Enterprises, LLC",695119110100,g,94.0,7.5,3.12,2.5,8.75,"INNOVASIAN CUISINE, LEMONGRASS CHICKEN STIR FRY"
376084,The Schwan Food Company,072180677693,g,226.0,5.38,9.68,1.1,30.11,"PAGODA, MINI EGG ROLLS, PORK"
376085,"Innovasian Cuisine Enterprises, LLC",695119120468,g,236.0,9.55,10.67,1.1,24.72,SRIRACHA CHICKEN
376086,The Schwan Food Company,072180677686,g,204.0,4.3,7.53,1.1,31.18,MINI EGG ROLLS WITH SWEET CHILI SAUCE
376087,"Innovasian Cuisine Enterprises, LLC",695119110605,g,133.0,4.67,3.33,1.3,20.0,"INNOVASIAN CUISINE, LEMON GRASS KITCHEN, BEEF & BROCCOLI NOODLES"
376088,"Boardwalk Frozen Treats, LLC",852455005051,g,239.0,3.41,13.64,1.1,25.0,ICE CREAM
376089,"Topco Associates, Inc.",036800614925,g,25.0,1.64,0.0,1.6,4.92,TOMATO SAUCE
376090,"Meijer, Inc.",713733431149,g,29.0,3.53,0.0,2.4,4.71,CUT LEAF SPINACH
376091,"Meijer, Inc.",713733190664,g,24.0,3.53,0.0,2.4,3.53,SELECTS ASPARAGUS CUTS & TIPS
376092,"Meijer, Inc.",708820520202,g,24.0,2.35,0.0,2.4,4.71,GRILLED ASPARAGUS SPEARS
376093,"Meijer, Inc.",713733431125,g,41.0,3.53,0.0,3.5,8.24,SELECTS BRUSSELS SPROUTS
376094,"Meijer, Inc.",719283515940,g,122.0,11.11,3.33,5.6,13.33,"MEIJER, EDAMAME IN SHELL"
376095,"Meijer, Inc.",041250953869,g,29.0,1.18,0.0,3.5,5.88,VEGETABLES
376096,"Meijer, Inc.",041250957652,g,71.0,2.35,0.0,3.5,14.12,MIXED VEGETABLES
376097,"Meijer, Inc.",041250953838,g,71.0,2.35,0.0,3.5,14.12,MIXED VEGETABLES
376098,"Meijer, Inc.",713733182430,g,71.0,2.35,0.0,1.2,15.29,STIR-FRY VEGETABLES WITH RICE STEAMABLE
376099,"Meijer, Inc.",041250157403,g,91.0,3.03,0.76,3.0,24.24,CORN ON THE COB
376100,"Meijer, Inc.",041250854241,g,29.0,1.18,0.0,1.2,7.06,DICED GREEN BELL PEPPERS
376101,"Meijer, Inc.",041250953807,g,106.0,3.53,1.18,2.4,22.35,SWEET CORN
376102,"Meijer, Inc.",719283956453,g,106.0,3.53,1.18,2.4,22.35,SWEET CORN STEAMABLE
376103,"Meijer, Inc.",719283956439,g,71.0,2.35,0.0,3.5,14.12,STEAMABLE MIXED VEGETABLES
376104,Pinnacle Foods Group LLC,014500507709,g,57.0,2.27,0.0,2.3,11.36,VEGETABLES FOR SOUP
376105,Pinnacle Foods Group LLC,014500011626,g,84.0,2.41,2.41,2.4,13.25,LIGHTLY SEASONED SOUTHWESTERN CORN
376106,"Meijer, Inc.",041250957584,g,29.0,3.53,0.0,2.4,4.71,CHOPPED SPINACH
376107,"Meijer, Inc.",708820307223,g,202.0,2.38,10.71,2.4,23.81,"EXTRA CRISPY ROUNDS SHAPED, SHREDDED POTATOES"
376108,"Meijer, Inc.",708820305052,g,190.0,2.38,9.52,2.4,23.81,"MEIJER, SHREDDED POTATOES TATER BITES"
376109,"Meijer, Inc.",708820306424,g,83.0,2.38,0.0,2.4,19.05,SHREDDED HASH BROWNS POTATOES
376110,"Meijer, Inc.",708820306998,g,190.0,2.38,8.33,2.4,25.0,EXTRA CRISPY SHOESTRING FRENCH FRIES POTATOES
376111,"Meijer, Inc.",708820056725,g,141.0,3.53,3.53,0.0,24.71,FRUIT BARS
376112,"Wells Enterprises, Inc.",070640008063,g,87.0,0.0,0.0,0.0,21.74,HAWAIIAN PUNCH POPS
376113,"Meijer, Inc.",708820427631,g,98.0,2.17,1.09,0.0,19.57,CREAM POPS
376114,"Meijer, Inc.",713733133890,g,98.0,2.17,1.09,0.0,19.57,"PURPLE COW, ICE CREAM POPS, VANILLA"
376115,"Meijer, Inc.",708820427686,g,73.0,0.0,0.0,0.0,18.18,PARTY POPS
376116,"Meijer, Inc.",708820427624,g,204.0,4.08,10.2,0.0,22.45,SUNDAE CUPS ICE CREAM
376117,"Meijer, Inc.",708820427747,g,254.0,3.39,8.47,0.0,42.37,ICE CREAM SANDWICHES
376118,"Meijer, Inc.",708820427501,g,353.0,3.92,25.49,0.0,25.49,ICE CREAM BARS
376119,"Meijer, Inc.",708820427648,g,141.0,0.0,0.78,0.0,31.25,ORANGE GLIDERS
376120,"Meijer, Inc.",708820427549,g,298.0,2.13,19.15,0.0,29.79,VANILLA ICE CREAM WITH CHOCOLATE FLAVORED COATING
376121,"Meijer, Inc.",708820427754,g,225.0,5.0,3.75,0.0,42.5,MINI ICE CREAM SANDWICHES
376122,"Meijer, Inc.",708820427556,g,130.0,2.6,0.0,0.0,27.27,FUDGE BARS
376123,"Meijer, Inc.",708820427761,g,271.0,3.39,8.47,0.0,44.07,"ICE CREAM SANDWICHES, COOKIES & CREAM, VANILLA ICE CREAM WITH CHOCOLATE COOKIE CRUNCH AND CHOCOLATE WAFERS"
376124,"Meijer, Inc.",708820427716,g,271.0,5.08,10.17,0.0,35.59,"ICE CREAM SANDWICHES, ARTIFICIALLY FLAVORED VANILLA ICE CREAM WITH CHOCOLATE WAFFERS"
376125,"Meijer, Inc.",708820427617,g,204.0,2.04,8.16,0.0,32.65,"PURPLE COW, VANILLA ICE CREAM WITH CHOCOLATE SAUCE, CHOCOLATE SWIRL"
376126,"Meijer, Inc.",708820427723,g,271.0,3.39,8.47,0.0,42.37,"ICE CREAM SANDWICHES, VANILLA CREAM WITH CHOCOLATE WAFERS"
376127,"Meijer, Inc.",708820427570,g,338.0,6.25,18.75,1.2,36.25,SUNDAE CONES ICE CREAM
376128,"Meijer, Inc.",708820427730,g,288.0,5.08,10.17,0.0,44.07,"ICE CREAM SANDWICHES, MINT CHOCOLATE CHIP, ICE CREAM WITH CHOCOLATE WAFERS"
376129,"The Hain Celestial Group, Inc.",084253242783,g,49.0,1.22,2.04,0.4,7.35,"IMAGINE, ORGANIC LOADED BAKED POTATO SOUP"
376130,"The Hain Celestial Group, Inc.",084253242813,g,65.0,3.27,0.0,3.7,12.65,"IMAGINE NATURAL CREATIONS, ORGANIC SAVORY BLACK BEAN WITH CORN & SPICES SOUP"
376131,"Pacific Foods of Oregon, Inc.",052603054720,g,33.0,2.05,0.61,0.4,4.92,CHICKEN NOODLE SOUP
376132,"Pacific Foods of Oregon, Inc.",052603054676,g,65.0,1.21,3.23,0.8,8.06,VEGETARIAN CHOWDER
376133,"Pacific Foods of Oregon, Inc.",052603054614,g,73.0,1.21,3.63,0.4,8.87,"PACIFIC, ORGANIC POBLANO PEPPER AND CORN CHOWDER"
376134,Pinnacle Foods Group LLC,658276200190,g,143.0,6.8,7.48,1.4,12.24,HAM AND CHEESE OMELET
376136,"Meijer, Inc.",041250646310,g,155.0,1.41,0.0,0.0,38.03,"MEIJER, ORANGE JUICE, ORANGE"
376137,"Meijer, Inc.",041250187202,g,155.0,1.41,0.0,0.0,38.03,"MEIJER, ORANGE JUICE"
376139,"Meijer, Inc.",041250953371,g,155.0,1.41,0.0,0.0,38.03,"MEIJER, ORANGE JUICE, ORIGINAL"
376140,Rich Products Corporation,049800157811,g,311.0,4.05,16.22,0.0,36.49,"FARM RICH, SWEET SHOP, MINI ICE CREAM DESSERTS, LEMON TARTS"
376141,Rich Products Corporation,049800157842,g,413.0,4.35,17.39,2.2,58.7,APPLE PIE BITES
376142,"Meijer, Inc.",708820409859,g,280.0,5.33,18.67,1.3,24.0,"MEIJER, CREAM PUFFS, VANILLA"
376143,"Meijer, Inc.",708820410367,g,333.0,6.06,18.18,0.0,33.33,"MEIJER, CUSTARD MINI ECLAIRS"
376144,CEDARLANE,038794994403,g,70.0,4.93,3.17,1.1,7.04,EGGPLANT MEDITERRANEAN (MOUSSAKA)
376145,DELIZZA,676670004114,g,286.0,3.57,15.48,1.2,32.14,"DELIZZA, BELGIAN MINI ECLAIRS, STRAWBERRY"
376146,CEDARLANE,038794994601,g,134.0,8.1,6.69,3.5,11.97,ROASTED CHILE RELLENO
376147,"Boulder Brands USA, Inc.",891627011520,g,106.0,5.65,3.89,1.4,12.01,CHICKEN TIKKA MASALA
376148,"Boulder Brands USA, Inc.",891627011513,g,188.0,7.06,9.41,1.2,18.04,UNCURED BACON MAC & CHEESE
376149,"Boulder Brands USA, Inc.",891627009213,g,114.0,2.35,5.88,2.0,14.12,QUINOA & ROASTED VEGGIES
376150,Dole Packaged Foods Company,071202094623,g,71.0,0.88,0.0,1.8,15.93,FRUIT & VEGGIE BLENDS
376151,Dole Packaged Foods Company,071202094616,g,71.0,0.88,0.0,1.8,16.81,FRUIT & VEGGIE BLENDS
376152,CEDARLANE,038794996865,g,137.0,4.71,5.88,2.0,17.25,QUINOA & VEGETABLE ENCHILADAS WITH POBLANO CREMA SAUCE
376153,Pinnacle Foods Group LLC,891627007868,g,145.0,3.53,9.02,0.8,12.55,"EVOL, TRUFFLE PARMESAN & PORTABELLA RISOTTO"
376154,"LYFE Kitchen Retail, Inc.",840423100020,g,113.0,6.36,5.3,1.1,9.89,WHOLE GRAIN PENNE PASTA
376155,"Neuman Bakery Specialties, Inc",073668000422,g,36.0,0.71,0.0,2.1,9.29,"WELCH'S, STRAWBERRIES"
376156,Dole Packaged Foods Company,071202163046,g,267.0,3.33,16.67,3.3,26.67,DARK CHOCOLATE COVERED REAL PINEAPPLE TIDBITS
376157,Dole Packaged Foods Company,071202171201,g,57.0,0.71,0.0,2.1,13.57,"STRAWBERRIES, PEACHES & BANANAS"
376158,Dole Packaged Foods Company,071202318057,g,64.0,0.71,0.36,3.6,14.29,CHERRY BERRY BLEND
376159,Dole Packaged Foods Company,071202171331,g,50.0,0.71,0.36,2.1,10.71,STRAWBERRIES & BLUEBERRIES MIX
376160,"Sambazon, Inc.",818411000010,g,100.0,1.0,4.0,2.0,15.0,"ACAI, ORIGINAL BLEND"
376161,"Meijer, Inc.",713733141604,g,64.0,0.71,0.0,2.1,15.71,MICHIGAN SWEET CHERRIES
376162,"Meijer, Inc.",041250207566,g,45.0,1.0,0.0,1.0,10.0,RED TART CHERRIES
376163,"Meijer, Inc.",041250207535,g,64.0,1.43,0.36,5.0,15.71,BLACKBERRIES
376164,"Meijer, Inc.",041250207573,g,50.0,0.71,0.71,2.9,12.14,"MEIJER, UNSWEETENED BLUEBERRIES"
376165,"Meijer, Inc.",041250207528,g,86.0,1.43,0.0,0.7,22.14,DARK SWEET CHERRIES
376166,"Meijer, Inc.",041250207580,g,43.0,0.71,0.0,1.4,14.29,MIXED FRUIT
376167,"Meijer, Inc.",041250207542,g,36.0,0.71,0.0,1.4,10.0,SLICED PEACHES
376168,"Meijer, Inc.",713733572033,g,50.0,0.71,0.71,2.9,12.14,BLUEBERRIES
376169,"Meijer, Inc.",719283191106,g,80.0,0.8,0.0,3.2,20.0,TRIPLE BERRY BLEND
376170,"Meijer, Inc.",708820577039,g,226.0,14.29,10.71,1.2,20.24,CHICKEN STRIPS BUFFALO STYLE SAUCE
376171,"Meijer, Inc.",719283661371,g,226.0,15.48,14.29,0.0,9.52,HONEY BBQ SEASONED CHICKEN WINGS
376172,"Osi Industries, LLC",070575454072,g,271.0,14.12,17.65,1.2,16.47,"ON-COR, WING SHAPED CHICKEN PATTIES"
376173,CEDARLANE,038794996247,g,225.0,7.04,11.97,4.2,26.06,SWEET CORN TAMALES
376174,Gorton's of Gloucester,044400158602,g,224.0,8.16,11.22,1.0,22.45,"GORTON'S, ORIGINAL BATTERED FISH TENDERS, WHOLE BATTERED FISH FILLETS"
376175,CEDARLANE,038794996230,g,190.0,4.93,10.56,0.7,19.72,TAMALES
376176,"Meijer, Inc.",708820577046,g,226.0,17.86,10.71,1.2,14.29,CRISPY CHICKEN STRIPS
376177,"Meijer, Inc.",719283906106,g,237.0,13.16,13.16,1.3,15.79,CHICKEN NUGGETS
376178,"LUVO, Inc.",840423100174,g,92.0,8.13,2.12,2.1,9.89,"LUVO, TURKEY MEATLOAF & MASHED POTATOES, BRUSSELS SPROUT, BUTTERNUT SQUASH & CRANBERRIES"
376179,"Papa Charlie's, Inc.",763335041208,g,53.0,9.27,1.32,0.0,1.32,"PAPA CHARLIE'S, SEASONED GRAVY & PREMIUM THIN SLICED ROAST BEEF"
376180,CEDARLANE,038794996254,g,190.0,6.34,9.86,4.2,21.83,"TAMALES WITH MONTEREY JACK, CHEDDAR AND COTIJA CHEESES"
376181,"Meijer, Inc.",719283905956,g,256.0,15.56,14.44,0.0,15.56,CHICKEN FRIES
376182,John Soules Foods Inc.,034695123607,g,143.0,20.24,3.57,0.0,4.76,FULLY COOKED BEEF FAJITAS
376183,"Boulder Brands USA, Inc.",891627011551,g,117.0,7.77,2.83,1.1,14.84,GRILLED CHICKEN PARMESAN
