fdc_id,description,energy_kcal,protein_g,fat_g,carbohydrate_g,caffeine_mg,sugars_g,vitamin_A_ug,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_B6_mg,vitamin_B12_ug,biotin_ug,vitamin_C_mg,choline_mg,vitamin_D_ug,vitamin_E_mg,folic_acid_ug,vitamin_K_ug,calcium_mg,chromium_ug,copper_mg,fluoride_ug,iodine_ug,iron_mg,magnesium_mg,manganese_mg,molybdenum_ug,phosphorus_mg,potassium_mg,selenium_ug,sodium_mg,sulfur_mg,zinc_mg
790991,"Bananas, ripe and slightly ripe, raw",97.0,0.74,0.29,23.0,,,1.0,0.055999999999999994,0.0,0.662,,0.209,,0.0,12.3,,,,,0.1,5.0,,0.10099999999999999,,0.0,0.0,28.0,0.258,,22.0,326.0,0.0,0.0,,0.16
790214,"Flour, rice, white, unenriched",359.0,6.94,1.3,79.8,,,,0.09,0.0,1.25,,0.052000000000000005,,,,,,,,,6.0,,0.209,,,0.22,22.9,0.892,45.5,94.0,75.0,5.3,5.0,,1.19
789890,"Flour, wheat, all-purpose, enriched, bleached",366.0,10.9,1.48,77.3,,,,0.9390000000000001,0.44299999999999995,6.74,,0.066,,,,,,,,,19.0,,0.155,,,5.62,26.7,0.758,37.6,108.0,136.0,15.7,2.0,,0.72
789951,"Flour, wheat, all-purpose, enriched, unbleached",358.0,13.1,1.48,73.2,,,,1.05,0.467,7.07,,0.079,,,,,,,,,21.0,,0.172,,,5.41,33.3,0.875,27.7,115.0,135.0,14.2,4.0,,0.9
790018,"Flour, wheat, all-purpose, unenriched, unbleached",362.0,12.0,1.7,74.6,,,,0.298,0.0,1.59,,0.085,,,,,,,,,22.0,,0.212,,,1.18,36.1,0.8190000000000001,42.6,134.0,150.0,20.1,2.0,,1.15
790085,"Flour, whole wheat, unenriched",370.0,15.1,2.73,71.2,,,,0.504,0.128,5.55,,0.268,,,,,,,,,38.0,,0.452,,,3.86,136.0,3.56,58.5,352.0,376.0,23.6,3.0,,3.24
790146,"Flour, bread, white, enriched, unbleached",363.0,14.3,1.65,72.8,,,,0.953,0.436,6.56,,0.079,,,,,,,,,19.0,,0.19399999999999998,,,5.55,35.9,0.7509999999999999,36.6,124.0,127.0,33.3,3.0,,1.06
789828,"Butter, stick, unsalted",,,81.5,,,,,,,,,,,,,,,,,,14.0,,0.001,,0.0,0.03,1.6,0.0,,19.0,19.0,,10.0,,0.07
790276,"Flour, corn, yellow, fine meal, enriched",364.0,6.2,1.74,80.8,,1.04,,0.662,0.354,5.75,,0.13,,,,,,,,,0.0,,0.08199999999999999,,,4.44,30.1,0.172,16.4,92.0,144.0,8.3,0.0,,0.62
790577,"Onions, red, raw",44.0,0.94,0.1,9.93,,5.76,,,,,,,,0.0,8.1,,,,,,17.0,,0.057999999999999996,,0.0,0.24,11.4,0.11900000000000001,,41.0,197.0,0.5,1.0,,0.17
790646,"Onions, yellow, raw",38.0,0.83,0.05,8.61,,5.82,,,,,,,,0.0,8.2,,,,,,15.0,,0.035,,0.0,0.28,9.0,0.14400000000000002,,34.0,182.0,0.0,1.0,,0.2
790774,"Bananas, overripe, raw",85.0,0.73,0.22,20.1,,,1.0,0.04,0.0,0.57,,0.23399999999999999,,0.0,9.7,,,,,0.2,,,,,,,,,,,,,,,
790508,"Butter, stick, salted",,,82.2,,,0.58,758.0,,0.0,0.0,,0.0,0.0,0.0,,,0.4,0.0,,,21.0,,0.006,,0.0,0.06,1.6,0.005,,22.0,23.0,0.0,524.0,,0.07
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0,3.36,1.9,4.9,,4.89,83.0,0.059000000000000004,0.13699999999999998,0.11199999999999999,0.39,0.061,0.55,,,18.2,1.13,0.03,,,126.0,,0.001,,39.6,0.0,12.0,0.001,,103.0,159.0,1.8,39.0,,0.43
746773,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",57.0,0.38,0.16,15.1,,9.69,1.0,0.012,0.026000000000000002,0.16399999999999998,0.042,0.026000000000000002,,,4.4,,,,,3.8,8.0,,0.07,,,0.17,5.7,0.032,,10.0,87.0,0.2,7.0,,0.07
746774,"Restaurant, Chinese, sweet and sour pork",260.0,8.88,13.6,25.5,,10.3,29.0,0.235,0.10300000000000001,2.11,0.44299999999999995,0.17,0.19,,2.3,32.4,,0.89,,27.8,46.0,,0.06,,,3.07,13.0,0.17300000000000001,,133.0,152.0,9.7,304.0,,1.07
746775,"Salt, table, iodized",,,,,,,,,,,,,,,,,,,,,50.0,,0.0,,5080.0,0.0,0.0,0.032,,0.0,2.0,,38700.0,,0.0
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.0,3.43,0.08,4.92,,5.05,64.0,0.055999999999999994,0.131,0.11800000000000001,0.38799999999999996,0.057999999999999996,0.58,,,18.2,1.1,0.0,,,132.0,,0.002,,35.7,0.0,12.5,0.001,,107.0,167.0,2.0,41.0,,0.45
746777,"Sauce, salsa, ready-to-serve",29.0,1.44,0.19,6.74,,3.81,24.0,0.035,,1.12,0.20199999999999999,0.17600000000000002,,,,,,1.22,,4.2,28.0,,0.065,,,0.42,15.2,0.11,,32.0,258.0,,656.0,,0.2
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",346.0,19.3,28.1,2.63,,,0.0,0.365,0.42,7.06,1.2,0.5539999999999999,1.21,,,97.1,,1.5,,6.0,37.0,,0.13,,,2.34,30.1,0.188,,207.0,435.0,25.9,983.0,,2.19
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",328.0,13.3,28.7,3.37,,1.0,18.0,0.054000000000000006,0.132,2.43,0.322,0.15,1.13,,19.2,38.3,,0.33,,,35.0,,0.075,,,1.55,19.7,0.174,,124.0,263.0,11.6,866.0,,2.14
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",322.0,18.2,26.2,2.15,,1.46,22.0,0.31,0.242,5.73,0.7829999999999999,0.34299999999999997,1.06,,,70.4,,0.8,,0.0,12.0,,0.07400000000000001,,,1.29,18.6,0.033,,145.0,310.0,20.2,766.0,,2.41
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",60.0,3.27,3.2,4.63,,4.81,32.0,0.055999999999999994,0.138,0.105,0.36200000000000004,0.061,0.54,,,17.8,0.96,0.05,,,123.0,,0.001,,37.9,0.0,11.9,0.0,,101.0,150.0,1.9,38.0,,0.42
746783,"Sausage, turkey, breakfast links, mild, raw",169.0,16.7,10.4,0.93,,,,0.047,0.29600000000000004,5.02,0.9520000000000001,0.335,1.2,,,59.6,,0.24,,0.4,32.0,,0.07,,,1.17,18.9,0.035,,178.0,310.0,12.5,599.0,,2.58
746784,"Sugars, granulated",385.0,0.0,0.32,99.6,,99.8,,,,,,,,,,,,,,,1.0,,0.006999999999999999,,,0.05,0.3,0.004,,0.0,2.0,,1.0,,0.01
746771,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",47.0,0.91,0.15,11.8,,8.57,,0.068,0.051,0.425,0.261,0.079,,,59.1,,,,,0.0,43.0,,0.064,,,0.33,10.7,0.028999999999999998,,23.0,166.0,0.0,9.0,,0.11
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0,3.38,0.95,5.18,,4.96,58.0,0.057,0.14,0.113,0.368,0.06,0.61,,,17.4,1.06,0.02,,,126.0,,0.001,,36.2,0.0,12.0,0.0,,103.0,159.0,2.1,39.0,,0.43
746765,"Cheese, dry white, queso seco",326.0,24.5,24.3,2.07,,0.43,226.0,0.038,0.23,0.083,0.39799999999999996,0.091,1.7,,,18.4,1.83,0.49,,1.6,661.0,,0.027000000000000003,,,0.18,26.7,0.018000000000000002,,475.0,116.0,22.4,1810.0,,3.28
746770,"Melons, cantaloupe, raw",34.0,0.82,0.18,8.16,,7.88,232.0,0.049,0.027000000000000003,0.6940000000000001,0.085,0.04,,,10.9,,,,,2.7,9.0,,0.085,,,0.38,13.0,0.046,,17.0,157.0,1.7,30.0,,0.44
746769,"Lettuce, cos or romaine, raw",17.0,1.24,0.26,3.24,,1.19,436.0,0.079,0.07200000000000001,0.32299999999999995,0.145,0.078,,,4.6,,,0.14,,102.0,35.0,,0.048,,,0.95,13.7,0.127,,30.0,253.0,0.4,,,0.25
746768,"Figs, dried, uncooked",249.0,3.3,0.92,63.9,,47.9,0.0,0.085,0.08199999999999999,0.619,0.434,0.106,,,1.2,,,0.36,,15.6,162.0,,0.287,,,2.03,67.6,0.51,,67.0,680.0,0.6,10.0,,0.66
746767,"Cheese, swiss",393.0,27.0,31.0,1.44,,0.0,292.0,0.011000000000000001,0.303,0.06,0.35200000000000004,0.07,3.02,,,13.8,0.0,0.6,,1.4,890.0,,0.047,,,0.13,33.4,0.027000000000000003,,574.0,71.0,30.1,185.0,,4.37
746766,"Cheese, ricotta, whole milk",157.0,7.81,11.0,6.86,,,127.0,0.043,0.327,0.168,0.6729999999999999,0.099,0.78,,,,,0.27,,0.6,224.0,,0.0,,,0.1,19.7,0.0,,162.0,230.0,5.5,105.0,,0.56
746952,"Ham, sliced, restaurant",121.0,19.6,3.68,2.36,,2.2,,,,,,,,,,,,,,,6.0,,0.040999999999999995,,,0.86,20.3,0.015,,246.0,484.0,,1030.0,,1.76
746764,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",37.0,0.81,0.47,7.92,,4.2,,0.039,0.047,0.465,0.196,0.08800000000000001,,,2.2,,,0.69,,15.0,33.0,,0.08,,,0.43,10.8,0.14300000000000002,,31.0,210.0,,66.0,,0.28
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",219.0,27.3,11.4,0.0,,,,,0.27,6.37,,0.753,1.88,,,,,,,,19.0,,0.078,,,3.53,20.0,0.003,,211.0,283.0,29.7,67.0,,4.69
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",145.0,22.7,5.32,0.0,,,,,0.23,5.32,,0.7509999999999999,1.98,,,,,,,,19.0,,0.075,,,2.26,10.7,0.003,,200.0,266.0,21.4,43.0,,3.52
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",123.0,23.7,2.41,0.0,,,,0.064,0.25,6.16,0.37,0.626,1.62,,,64.1,0.0,0.21,,,13.0,,0.047,,,2.34,11.9,0.003,,220.0,316.0,22.7,55.0,,3.54
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",122.0,23.4,2.48,0.0,,,,,0.185,6.58,,0.638,2.06,,,,,,,,13.0,,0.035,,,1.37,11.4,0.002,,222.0,312.0,22.2,50.0,,3.38
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",155.0,22.8,6.39,0.0,,,,0.053,0.20199999999999999,6.88,0.36,0.575,1.72,,,56.3,0.0,0.25,,,15.0,,0.043,,,1.9,11.3,0.002,,206.0,282.0,21.3,45.0,,3.76
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",176.0,27.7,6.36,0.0,,,,,0.4,5.76,,0.67,4.21,,,,,,,,13.0,,0.09699999999999999,,,3.04,13.7,0.008,,259.0,352.0,25.4,54.0,,3.7
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.0,27.1,11.6,0.0,,,30.0,0.08800000000000001,0.262,8.09,1.4,0.49700000000000005,1.9,,,78.7,,0.18,,,31.0,,0.166,,,1.56,29.1,0.01,,259.0,304.0,28.4,90.0,,3.77
747431,"Beans, Dry, Red (0% moisture)",,21.3,1.16,,,,,,,,,,,,,,,,,,148.0,,0.9590000000000001,,,5.05,152.0,1.93,488.0,380.0,1540.0,,,204.0,2.84
747429,"Cheese, American, restaurant",375.0,17.5,31.1,6.35,,3.76,,,,,,,,,,,,,,,508.0,,0.042,,54.1,0.24,25.0,0.018000000000000002,,380.0,173.0,,1600.0,,2.45
747444,"Beans, Dry, Black (0% moisture)",,24.4,1.45,,,,,,,,,,,,,,,,,,191.0,,1.12,,,5.34,180.0,2.08,920.0,522.0,1540.0,,,244.0,3.37
749420,"Pork, cured, bacon, cooked, restaurant",500.0,40.9,36.5,2.1,,3.14,,,,,,,,,,,,,,,13.0,,0.13,,,1.28,36.5,0.02,,415.0,557.0,,1830.0,,3.56
